id,nafis_raw_id,nafis_price_date,county,town,variety,commodity,unit,kg,code,rowno,price,average,max,min,price_date
8312,260,2011-12-09,Kisumu,Kisumu,LEGUMES,Beans Mwitemania,Bag,90,7,15,5322,5322,6900,4000,09/12/2011
8313,261,2011-12-09,Kisumu,Kisumu,LEGUMES,Mwezi Moja,Bag,90,6,16,5333,5333,7000,3800,09/12/2011
8314,262,2011-12-09,Kisumu,Kisumu,OTHERS,Beans Dolichos (Njahi),Bag,90,0,17,6914,6914,9000,5200,09/12/2011
8315,263,2011-12-09,Kisumu,Kisumu,LEGUMES,Green Gram,Bag,90,46,18,8000,8022,9400,10800,09/12/2011
8316,264,2011-12-09,Kisumu,Kisumu,LEGUMES,Cowpeas,Bag,90,45,19,7200,7546,8550,10000,09/12/2011
8317,265,2011-12-09,Kisumu,Kisumu,LEGUMES,Fresh Peas,Bag,51,27,20,1600,2023,3500,1100,09/12/2011
8318,266,2011-12-09,Kisumu,Kisumu,LEGUMES,Groundnuts,Bag,110,44,21,9600,11155,9600,11000,09/12/2011
8319,267,2011-12-09,Kisumu,Kisumu,ROOTS & TUBERS,Red Irish Potatoes,Bag,110,29,22,4500,3056,4500,2200,09/12/2011
8320,268,2011-12-09,Kisumu,Kisumu,ROOTS & TUBERS,White Irish Potatoes,Bag,110,30,23,4500,3056,4500,2300,09/12/2011
8321,269,2011-12-09,Kisumu,Kisumu,ROOTS & TUBERS,Cassava Fresh,Bag,98.8000031,43,24,800,1960,800,1600,09/12/2011
8322,270,2011-12-09,Kisumu,Kisumu,ROOTS & TUBERS,Sweet Potatoes,Bag,98,31,25,900,2182,900,1500,09/12/2011
8323,271,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Cabbages,Ext Bag,126,9,26,900,1293,900,1000,09/12/2011
8324,272,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Cooking Bananas,Med Bunch,22,2,27,300,460,700,250,09/12/2011
8325,273,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Ripe Bananas,Med Bunch,14,3,28,300,481,700,300,09/12/2011
8326,274,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Carrots,Ext Bag,138,13,29,3000,2027,800,1200,09/12/2011
8327,275,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Tomatoes,Lg Box,64,32,30,4000,3040,4200,1800,09/12/2011
