REPORT_DATE;LOAD_TYPE;LOAD_WEIGHT;DROPOFF_SITE;ROUTE_TYPE;ROUTE_NUMBER;LOAD_ID
2019-12-19;RECYCLING - SINGLE STREAM;12460;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU12;853857
2019-12-19;GARBAGE COLLECTIONS;22300;TDS LANDFILL;GARBAGE COLLECTION;PAH05;853884
2019-12-19;ORGANICS;16100;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-17;853903
2019-12-19;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB106;853866
2019-12-19;GARBAGE COLLECTIONS;25680;TDS LANDFILL;GARBAGE COLLECTION;PAH54;853900
2019-12-19;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB63;853861
2019-12-19;ORGANICS;14360;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-10;853890
2019-12-19;ORGANICS;5840;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-13;853893
2019-12-19;ORGANICS;8340;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-13;853894
2019-12-19;RECYCLING - SINGLE STREAM;11700;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU10;853854
2019-12-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-4;853920
2019-12-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-4;853925
2019-12-19;SWEEPING;7260;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;853917
2019-12-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-4;853927
2019-12-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S8-2;853924
2019-12-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S8-4;853928
2019-12-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-4;853926
2019-12-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S8-3;853930
2019-12-19;SWEEPING;4860;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;853916
2019-12-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-2;853923
2019-12-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-4;853919
2019-12-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S8-4;853921
2019-12-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-2;853922
2019-12-19;SWEEPING;;BURGER CENTER;STREET CLEANING-RESIDENTIAL;S8-8;853932
2019-12-19;SWEEPING;5740;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;853915
2019-12-19;SWEEPING;;BURGER CENTER;STREET CLEANING-RESIDENTIAL;S8-3;853929
2019-12-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-4;853918
2019-12-19;SWEEPING;;BURGER CENTER;STREET CLEANING-RESIDENTIAL;S8-8;853931
2019-12-19;RECYCLING - SINGLE STREAM;9200;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU50;853951
2019-12-19;TIRES;4340;MRF;BULK;BU08;854102
2019-12-19;DEAD ANIMAL;340;TDS LANDFILL;DEAD ANIMAL;DA01;854063
2019-12-19;BULK;5080;TDS LANDFILL;BULK;BU08;854032
2019-12-19;BULK;1540;TDS LANDFILL;BULK;BU08;854105
2019-12-19;RECYCLING - SINGLE STREAM;6640;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS35;853994
2019-12-19;RECYCLING - SINGLE STREAM;6620;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU23;853991
2019-12-19;RECYCLING - SINGLE STREAM;13260;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS42;854038
2019-12-19;GARBAGE COLLECTIONS;20300;TDS LANDFILL;GARBAGE COLLECTION;PH10;854110
2019-12-19;YARD TRIMMING;13820;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH1;854039
2019-12-19;GARBAGE COLLECTIONS;21440;TDS LANDFILL;GARBAGE COLLECTION;PH23;854138
2019-12-19;YARD TRIMMING;3400;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-5;854065
2019-12-19;RECYCLING - SINGLE STREAM;9120;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU23;853990
2019-12-19;GARBAGE COLLECTIONS;23400;TDS LANDFILL;GARBAGE COLLECTION;PH12;854112
2019-12-19;RECYCLING - SINGLE STREAM;12380;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS34;853980
2019-12-19;BULK;4960;TDS LANDFILL;BULK;BU08;854101
2019-12-19;RECYCLING - SINGLE STREAM;7680;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU51;853953
2019-12-19;GARBAGE COLLECTIONS;20860;TDS LANDFILL;GARBAGE COLLECTION;PH20;854134
2019-12-19;RECYCLING - SINGLE STREAM;13140;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS33;853978
2019-12-19;YARD TRIMMING;6900;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-7;854047
2019-12-19;RECYCLING - SINGLE STREAM;12350;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS35;853989
2019-12-19;RECYCLING - SINGLE STREAM;11740;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU20;853975
2019-12-19;YARD TRIMMING;10840;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-6;854070
2019-12-19;RECYCLING - SINGLE STREAM;11360;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU21;853977
2019-12-19;RECYCLING - SINGLE STREAM;10500;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS33;853979
2019-12-19;RECYCLING - SINGLE STREAM;12180;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU22;853986
2019-12-19;RECYCLING - SINGLE STREAM;11110;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS42;854042
2019-12-19;RECYCLING - SINGLE STREAM;12130;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS43;854046
2019-12-19;RECYCLING - SINGLE STREAM;5220;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU22;853987
2019-12-19;BULK;6300;TDS LANDFILL;BULK;BU08;854094
2019-12-19;TIRES;620;MRF;BULK;BU08;854103
2019-12-19;RECYCLING - SINGLE STREAM;8500;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU24;853997
2019-12-19;BULK;4240;TDS LANDFILL;BULK;BU08;854106
2019-12-19;YARD TRIMMING;4980;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OBH00;854036
2019-12-19;RECYCLING - SINGLE STREAM;11160;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU50;853950
2019-12-19;RECYCLING - SINGLE STREAM;11800;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU51;853952
2019-12-19;RECYCLING - SINGLE STREAM;10960;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU52;853954
2019-12-19;YARD TRIMMING;11520;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-3;854043
2019-12-19;YARD TRIMMING;8040;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-2;854041
2019-12-19;RECYCLING - SINGLE STREAM;12700;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU53;853956
2019-12-19;BULK;1560;TDS LANDFILL;ON CALL BULK;OCPBU23;853972
2019-12-19;RECYCLING - SINGLE STREAM;10860;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU24;853996
2019-12-19;YARD TRIMMING;13760;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-8;854048
2019-12-19;RECYCLING - SINGLE STREAM;14400;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS43;854044
2019-12-19;RECYCLING - SINGLE STREAM;5360;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU20;853976
2019-12-19;YARD TRIMMING;9760;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-5;854067
2019-12-19;GARBAGE COLLECTIONS;12300;TDS LANDFILL;GARBAGE COLLECTION;PH14;854113
2019-12-19;RECYCLING - SINGLE STREAM;15957;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBS40;854033
2019-12-19;GARBAGE COLLECTIONS;16300;TDS LANDFILL;GARBAGE COLLECTION;PH21;854135
2019-12-19;RECYCLING - SINGLE STREAM;8360;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU21;853985
2019-12-19;YARD TRIMMING;13480;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-4;854045
2019-12-19;GARBAGE COLLECTIONS;6760;TDS LANDFILL;GARBAGE COLLECTION;PH24;854142
2019-12-19;BULK;700;TDS LANDFILL;ON CALL BULK;OCPBU09;853974
2019-12-19;GARBAGE COLLECTIONS;18520;TDS LANDFILL;GARBAGE COLLECTION;PH11;854111
2019-12-19;RECYCLING - SINGLE STREAM;9340;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU52;853955
2019-12-19;RECYCLING - SINGLE STREAM;10820;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU22;853988
2019-12-19;RECYCLING - SINGLE STREAM;10700;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU53;853957
2019-12-19;GARBAGE COLLECTIONS;11680;TDS LANDFILL;GARBAGE COLLECTION;PH42;854432
2019-12-19;GARBAGE COLLECTIONS;25760;TDS LANDFILL;GARBAGE COLLECTION;PAH51;854499
2019-12-19;GARBAGE COLLECTIONS;21120;TDS LANDFILL;GARBAGE COLLECTION;PAH62;854610
2019-12-19;GARBAGE COLLECTIONS;21080;TDS LANDFILL;GARBAGE COLLECTION;PH32;854744
2019-12-19;ORGANICS;15240;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-24;854773
2019-12-19;ORGANICS;1520;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OBH00;854776
2019-12-19;GARBAGE COLLECTIONS;15280;TDS LANDFILL;GARBAGE COLLECTION;PH30;854723
2019-12-19;ORGANICS;15040;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-22;854771
2019-12-19;ORGANICS;13080;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-20;854769
2019-12-19;GARBAGE COLLECTIONS;4760;TDS LANDFILL;GARBAGE COLLECTION;PH39;854746
2019-12-19;ORGANICS;16240;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OBH99;854775
2019-12-19;GARBAGE COLLECTIONS;20840;TDS LANDFILL;GARBAGE COLLECTION;PH31;854733
2019-12-19;RECYCLING - SINGLE STREAM;2260;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;DH1;855080
2019-12-19;RECYCLING - SINGLE STREAM;5140;BALCONES RECYCLING;RECYCLING DEAD END;DH5;855087
2019-12-19;RECYCLING - SINGLE STREAM;2980;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;DH4;855085
2019-12-19;RECYCLING - SINGLE STREAM;4340;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;DH3;855082
2019-12-19;RECYCLING - SINGLE STREAM;1980;BALCONES RECYCLING;INHOUSE - RECYCLING;IRH1;855088
2019-12-19;YARD TRIMMING;14520;HORNSBY BEND;YARD TRIMMINGS;YH04;855996
2019-12-19;GARBAGE COLLECTIONS;15160;TDS LANDFILL;GARBAGE COLLECTION;PAH84;856260
2019-12-19;RECYCLING - SINGLE STREAM;2520;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHBU14;856403
2019-12-19;GARBAGE COLLECTIONS;20220;TDS LANDFILL;GARBAGE COLLECTION;PH11;856614
2019-12-19;ORGANICS;13180;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-25;854774
2019-12-19;ORGANICS;14800;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-21;854770
2019-12-19;ORGANICS;8470;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-23;854772
2019-12-18;ORGANICS;8060;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW16;853605
2019-12-18;ORGANICS;14400;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW11;853600
2019-12-18;ORGANICS;14940;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW14;853602
2019-12-18;ORGANICS;9980;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW15;853603
2019-12-18;BRUSH;2780;HORNSBY BEND;BRUSH;BR14;853574
2019-12-18;RECYCLING - SINGLE STREAM;9540;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU54;853596
2019-12-18;RECYCLING - SINGLE STREAM;10740;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU52;853589
2019-12-18;RECYCLING - SINGLE STREAM;10180;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU54;853595
2019-12-18;RECYCLING - SINGLE STREAM;10480;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU51;853591
2019-12-18;ORGANICS;4720;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW15;853604
2019-12-18;BRUSH;1380;HORNSBY BEND;BRUSH;BR14;853575
2019-12-18;RECYCLING - SINGLE STREAM;9440;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU53;853593
2019-12-18;RECYCLING - SINGLE STREAM;12240;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU51;853592
2019-12-18;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB21;853598
2019-12-18;BRUSH;9680;HORNSBY BEND;BRUSH;BR14;853576
2019-12-18;RECYCLING - SINGLE STREAM;2620;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU53;853594
2019-12-18;RECYCLING - SINGLE STREAM;11640;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU50;853588
2019-12-18;ORGANICS;14500;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW13;853601
2019-12-18;RECYCLING - SINGLE STREAM;10000;TDS - MRF;RECYCLING - SINGLE STREAM;RWBU50;853587
2019-12-18;BRUSH;2920;HORNSBY BEND;BRUSH;BR14;853573
2019-12-18;ORGANICS;8320;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW17;853608
2019-12-18;GARBAGE COLLECTIONS;11900;TDS LANDFILL;GARBAGE COLLECTION;PAW65;853657
2019-12-18;BULK;4680;TDS LANDFILL;BULK;BU08;853742
2019-12-18;YARD TRIMMING;8980;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW3;853634
2019-12-18;GARBAGE COLLECTIONS;25540;TDS LANDFILL;GARBAGE COLLECTION;PAW62;853649
2019-12-18;TIRES;1560;MRF;BULK;BU08;853741
2019-12-18;GARBAGE COLLECTIONS;17780;TDS LANDFILL;GARBAGE COLLECTION;PAW61;853647
2019-12-18;GARBAGE COLLECTIONS;18320;TDS LANDFILL;GARBAGE COLLECTION;PAT72;853615
2019-12-18;GARBAGE COLLECTIONS;4960;TDS LANDFILL;GARBAGE COLLECTION;PW22;853648
2019-12-18;GARBAGE COLLECTIONS;19400;TDS LANDFILL;GARBAGE COLLECTION;PAW05;853702
2019-12-18;GARBAGE COLLECTIONS;6460;TDS LANDFILL;GARBAGE COLLECTION;PW24;853655
2019-12-18;RECYCLING - SINGLE STREAM;9440;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU14;853812
2019-12-18;GARBAGE COLLECTIONS;17140;TDS LANDFILL;GARBAGE COLLECTION;PAW51;853717
2019-12-18;GARBAGE COLLECTIONS;20080;TDS LANDFILL;GARBAGE COLLECTION;PW31;853659
2019-12-18;SWEEPING;6960;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;853794
2019-12-18;GARBAGE COLLECTIONS;18480;TDS LANDFILL;GARBAGE COLLECTION;PAW71;853613
2019-12-18;RECYCLING - SINGLE STREAM;15540;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBS34;853815
2019-12-18;BULK;11520;TDS LANDFILL;BULK;BU08;853735
2019-12-18;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-18;853828
2019-12-18;RECYCLING - SINGLE STREAM;11480;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU11;853805
2019-12-18;YARD TRIMMING;9260;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW8;853650
2019-12-18;GARBAGE COLLECTIONS;9280;TDS LANDFILL;GARBAGE COLLECTION;PAW79;853631
2019-12-18;GARBAGE COLLECTIONS;13180;TDS LANDFILL;GARBAGE COLLECTION;PAW51;853716
2019-12-18;RECYCLING - SINGLE STREAM;12100;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU20;853770
2019-12-18;GARBAGE COLLECTIONS;14800;TDS LANDFILL;GARBAGE COLLECTION;PAW74;853625
2019-12-18;GARBAGE COLLECTIONS;16980;TDS LANDFILL;GARBAGE COLLECTION;PAW03;853694
2019-12-18;RECYCLING - SINGLE STREAM;11840;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU10;853802
2019-12-18;GARBAGE COLLECTIONS;23440;TDS LANDFILL;GARBAGE COLLECTION;PW32;853664
2019-12-18;YARD TRIMMING;4600;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW5;853641
2019-12-18;GARBAGE COLLECTIONS;19520;TDS LANDFILL;GARBAGE COLLECTION;PAW52;853719
2019-12-18;RECYCLING - SINGLE STREAM;10740;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU24;853777
2019-12-18;GARBAGE COLLECTIONS;12700;TDS LANDFILL;GARBAGE COLLECTION;PAW71;853614
2019-12-18;YARD TRIMMING;17040;HORNSBY BEND;YARD TRIMMINGS;YW04;853620
2019-12-18;YARD TRIMMING;10680;HORNSBY BEND;YARD TRIMMINGS;YW05;853626
2019-12-18;RECYCLING - SINGLE STREAM;5800;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU24;853778
2019-12-18;GARBAGE COLLECTIONS;10620;TDS LANDFILL;GARBAGE COLLECTION;PAW70;853612
2019-12-18;GARBAGE COLLECTIONS;13120;TDS LANDFILL;GARBAGE COLLECTION;PAW02;853691
2019-12-18;ORGANICS;15140;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW21;853796
2019-12-18;GARBAGE COLLECTIONS;26380;TDS LANDFILL;GARBAGE COLLECTION;PW41;853789
2019-12-18;RECYCLING - SINGLE STREAM;920;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;DW2;853696
2019-12-18;ORGANICS;14160;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW24;853817
2019-12-18;YARD TRIMMING;11460;HORNSBY BEND;YARD TRIMMINGS;YW02;853616
2019-12-18;GARBAGE COLLECTIONS;18280;TDS LANDFILL;GARBAGE COLLECTION;PW39;853668
2019-12-18;GARBAGE COLLECTIONS;19140;TDS LANDFILL;GARBAGE COLLECTION;PW21;853640
2019-12-18;GARBAGE COLLECTIONS;13640;TDS LANDFILL;GARBAGE COLLECTION;PAW53;853720
2019-12-18;BULK;13840;TDS LANDFILL;BULK;BU08;853740
2019-12-18;RECYCLING - SINGLE STREAM;7220;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU23;853775
2019-12-18;GARBAGE COLLECTIONS;13320;TDS LANDFILL;GARBAGE COLLECTION;PAW06;853707
2019-12-18;GARBAGE COLLECTIONS;5460;TDS LANDFILL;GARBAGE COLLECTION;PAW73;853622
2019-12-18;GARBAGE COLLECTIONS;14580;TDS LANDFILL;GARBAGE COLLECTION;PAW61;853645
2019-12-18;BULK;4540;TDS LANDFILL;BULK;BU08;853744
2019-12-18;YARD TRIMMING;8180;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW6;853643
2019-12-18;RECYCLING - SINGLE STREAM;9960;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU20;853769
2019-12-18;DEAD ANIMAL;40;TDS LANDFILL;DEAD ANIMAL;DA02;853782
2019-12-18;RECYCLING - SINGLE STREAM;4760;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU13;853810
2019-12-18;YARD TRIMMING;4820;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OBW00;853663
2019-12-18;GARBAGE COLLECTIONS;23220;TDS LANDFILL;GARBAGE COLLECTION;PAW50;853714
2019-12-18;GARBAGE COLLECTIONS;4180;TDS LANDFILL;GARBAGE COLLECTION;PAW09;853709
2019-12-18;BULK;2840;TDS LANDFILL;ON CALL BULK;OCPBU23;853670
2019-12-18;SWEEPING;4380;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;853786
2019-12-18;GARBAGE COLLECTIONS;14020;TDS LANDFILL;GARBAGE COLLECTION;PAW01;853666
2019-12-18;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S8-8;853829
2019-12-18;RECYCLING - SINGLE STREAM;5760;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU21;853772
2019-12-18;GARBAGE COLLECTIONS;8520;TDS LANDFILL;GARBAGE COLLECTION;PAW69;853662
2019-12-18;GARBAGE COLLECTIONS;14460;TDS LANDFILL;GARBAGE COLLECTION;PAW53;853721
2019-12-18;RECYCLING - SINGLE STREAM;2800;BALCONES RECYCLING;INHOUSE - RECYCLING;IRW1;853700
2019-12-18;RECYCLING - SINGLE STREAM;12120;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU13;853809
2019-12-18;GARBAGE COLLECTIONS;9840;TDS LANDFILL;GARBAGE COLLECTION;PW22;853651
2019-12-18;SWEEPING;6000;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;853787
2019-12-18;RECYCLING - SINGLE STREAM;11160;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU11;853803
2019-12-18;GARBAGE COLLECTIONS;4700;TDS LANDFILL;GARBAGE COLLECTION;PAW59;853724
2019-12-18;TIRES;180;MRF;ON CALL BULK;OCPBU09;853723
2019-12-18;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-18;853823
2019-12-18;YARD TRIMMING;4500;HORNSBY BEND;YARD TRIMMINGS;YW01;853611
2019-12-18;ORGANICS;14700;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW23;853814
2019-12-18;RECYCLING - SINGLE STREAM;11640;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU12;853807
2019-12-18;GARBAGE COLLECTIONS;24440;TDS LANDFILL;GARBAGE COLLECTION;PAW03;853693
2019-12-18;GARBAGE COLLECTIONS;5120;TDS LANDFILL;GARBAGE COLLECTION;PW41;853792
2019-12-18;RECYCLING - SINGLE STREAM;12100;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU12;853806
2019-12-18;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-18;853827
2019-12-18;RECYCLING - SINGLE STREAM;10280;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU23;853776
2019-12-18;GARBAGE COLLECTIONS;13660;TDS LANDFILL;GARBAGE COLLECTION;PAW65;853660
2019-12-18;GARBAGE COLLECTIONS;25200;TDS LANDFILL;GARBAGE COLLECTION;PAW64;853654
2019-12-18;YARD TRIMMING;12060;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW1;853627
2019-12-18;GARBAGE COLLECTIONS;6960;TDS LANDFILL;GARBAGE COLLECTION;PAW52;853718
2019-12-18;RECYCLING - SINGLE STREAM;4640;BALCONES RECYCLING;RECYCLING DEAD END;DW5;853699
2019-12-18;GARBAGE COLLECTIONS;15960;TDS LANDFILL;GARBAGE COLLECTION;PAW74;853624
2019-12-18;RECYCLED METAL;480;MRF;ON CALL BULK;OCPBU09;853725
2019-12-18;RECYCLING - SINGLE STREAM;9580;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU14;853813
2019-12-18;BULK;12100;TDS LANDFILL;BULK;BU08;853738
2019-12-18;BULK;3200;TDS LANDFILL;ON CALL BULK;OCPBU09;853684
2019-12-18;RECYCLING - SINGLE STREAM;12140;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU25;853781
2019-12-18;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S8-18;853824
2019-12-18;ORGANICS;16380;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW20;853784
2019-12-18;GARBAGE COLLECTIONS;8900;TDS LANDFILL;GARBAGE COLLECTION;PW39;853672
2019-12-18;GARBAGE COLLECTIONS;15320;TDS LANDFILL;GARBAGE COLLECTION;PAW05;853703
2019-12-18;YARD TRIMMING;9660;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW7;853646
2019-12-18;BULK;5100;TDS LANDFILL;BULK;BU08;853743
2019-12-18;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S8-18;853822
2019-12-18;GARBAGE COLLECTIONS;22020;TDS LANDFILL;GARBAGE COLLECTION;PW30;853653
2019-12-18;GARBAGE COLLECTIONS;25000;TDS LANDFILL;GARBAGE COLLECTION;PW40;853783
2019-12-18;GARBAGE COLLECTIONS;6240;TDS LANDFILL;GARBAGE COLLECTION;PAW04;853698
2019-12-18;ORGANICS;3720;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW25;853820
2019-12-18;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S8-2;853798
2019-12-18;GARBAGE COLLECTIONS;13680;TDS LANDFILL;GARBAGE COLLECTION;PAW06;853706
2019-12-18;RECYCLING - SINGLE STREAM;13000;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBS33;853811
2019-12-18;BULK;8040;TDS LANDFILL;BULK;BU08;853736
2019-12-18;GARBAGE COLLECTIONS;24480;TDS LANDFILL;GARBAGE COLLECTION;PAT72;853617
2019-12-18;RECYCLING - SINGLE STREAM;14040;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBS35;853818
2019-12-18;YARD TRIMMING;15060;HORNSBY BEND;YARD TRIMMINGS;YW03;853619
2019-12-18;GARBAGE COLLECTIONS;9380;TDS LANDFILL;GARBAGE COLLECTION;PAW50;853713
2019-12-18;BULK;3500;TDS LANDFILL;BULK;BU08;853745
2019-12-18;RECYCLING - SINGLE STREAM;10060;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU10;853800
2019-12-18;SWEEPING;9040;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;853793
2019-12-18;ORGANICS;9900;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW22;853804
2019-12-18;BULK;14660;TDS LANDFILL;BULK;BU08;853739
2019-12-18;SWEEPING;5520;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;853790
2019-12-18;ORGANICS;12860;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OBW00;853826
2019-12-18;RECYCLING - SINGLE STREAM;3480;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWBU22;853774
2019-12-18;YARD TRIMMING;6640;HORNSBY BEND;YARD TRIMMINGS;YW01;853610
