RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Isiolo, Wajir, Busia, Meru, Kitale, Kitui, Average, Max, Min, FileName, DateOfUpload
30, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3.0, 600.0, 350.0, 300.0, 750.0, 700.0, 900.0, 650.0, 1000.0, 600.0, 750.0, 700.0, 664.0, 900.0, 1000.0, 06-08-2018.xls, 2020-01-09 13:10:48
31, HORTICULTURE, Carrots, Ext Bag, 138.0, 13.0, 3350.0, 4400.0, 3000.0, 2700.0, 1600.0, 2500.0, 3608.0, 5520.0, 3608.0, 5600.0, 3800.0, 3608.0, 5600.0, 1600.0, 06-08-2018.xls, 2020-01-09 13:10:48
32, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32.0, 4500.0, 4000.0, 5000.0, 4000.0, 3600.0, 3000.0, 4000.0, 4500.0, 2240.0, 5000.0, 2500.0, 3849.0, 5000.0, 2240.0, 06-08-2018.xls, 2020-01-09 13:10:48
33, HORTICULTURE, Onions Dry, net, 13.0, 22.0, 1040.0, 700.0, 1040.0, 750.0, 1120.0, 650.0, 2200.0, 975.0, 520.0, 600.0, 780.0, 943.0, 975.0, 1040.0, 06-08-2018.xls, 2020-01-09 13:10:48
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23.0, 2400.0, 5100.0, 2400.0, 2000.0, 1400.0, 2757.0, 2757.0, 2757.0, 3000.0, 3000.0, 2757.0, 2757.0, 5100.0, 1400.0, 06-08-2018.xls, 2020-01-09 13:10:48
35, HORTICULTURE, Chillies, Bag, 38.0, 11.0, 2280.0, 1710.0, 1500.0, 4000.0, 3141.0, 3800.0, 3141.0, 3141.0, 2700.0, 6000.0, 3141.0, 3141.0, 6000.0, 1500.0, 06-08-2018.xls, 2020-01-09 13:10:48
36, HORTICULTURE, Cucumber, Bag, 50.0, 14.0, 2500.0, 1500.0, 3200.0, 3200.0, 3200.0, 6500.0, 3200.0, 3200.0, 3000.0, 2500.0, 3200.0, 3200.0, 6500.0, 1500.0, 06-08-2018.xls, 2020-01-09 13:10:48
37, HORTICULTURE, Capsicums, Bag, 50.0, 12.0, 2550.0, 3750.0, 2500.0, 2800.0, 1500.0, 6000.0, 2500.0, 3500.0, 3000.0, 6000.0, 3410.0, 3410.0, 6000.0, 1500.0, 06-08-2018.xls, 2020-01-09 13:10:48
38, HORTICULTURE, Brinjals, Bag, 44.0, 8.0, 2000.0, 1230.0, 1500.0, 2000.0, 2059.0, 3080.0, 2059.0, 2059.0, 2800.0, 1800.0, 2059.0, 2059.0, 3080.0, 1230.0, 06-08-2018.xls, 2020-01-09 13:10:48
39, HORTICULTURE, Cauliflower, crate, 39.0, 10.0, 2800.0, 1950.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2800.0, 1950.0, 06-08-2018.xls, 2020-01-09 13:10:48
40, HORTICULTURE, Lettuce, Bag, 51.0, 17.0, 2750.0, 2000.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2750.0, 2000.0, 06-08-2018.xls, 2020-01-09 13:10:48
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25.0, 5000.0, 6500.0, 3000.0, 5000.0, 5400.0, 4500.0, 4367.0, 4367.0, 3000.0, 4400.0, 2500.0, 4367.0, 6500.0, 2500.0, 06-08-2018.xls, 2020-01-09 13:10:48
42, HORTICULTURE, Oranges, Bag, 93.0, 24.0, 3200.0, 4000.0, 3000.0, 3500.0, 3200.0, 5500.0, 3933.0, 4500.0, 4500.0, 4000.0, 3933.0, 3933.0, 5500.0, 3000.0, 06-08-2018.xls, 2020-01-09 13:10:48
43, HORTICULTURE, Lemons, Bag, 95.0, 16.0, 2850.0, 4500.0, 1800.0, 2400.0, 2756.0, 3000.0, 2756.0, 2500.0, 1800.0, 4750.0, 1200.0, 2756.0, 4750.0, 1200.0, 06-08-2018.xls, 2020-01-09 13:10:48
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21.0, 2600.0, 2180.0, 2400.0, 3000.0, 2300.0, 2513.0, 2513.0, 2513.0, 2513.0, 2600.0, 2513.0, 2513.0, 3000.0, 2180.0, 06-08-2018.xls, 2020-01-09 13:10:48
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36.0, 1500.0, 1167.0, 1700.0, 500.0, 500.0, 2000.0, 1167.0, 1167.0, 1167.0, 1167.0, 800.0, 1167.0, 800.0, 1500.0, 06-08-2018.xls, 2020-01-09 13:10:48
46, HORTICULTURE, Limes, net, 13.0, 18.0, 1000.0, 600.0, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0, 600.0, 1000.0, 06-08-2018.xls, 2020-01-09 13:10:48
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28.0, 960.0, 900.0, 640.0, 600.0, 650.0, 1200.0, 790.0, 960.0, 600.0, 600.0, 790.0, 790.0, 960.0, 1200.0, 06-08-2018.xls, 2020-01-09 13:10:48
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26.0, 2450.0, 1800.0, 1100.0, 3000.0, 3150.0, 3800.0, 2161.0, 2161.0, 700.0, 2750.0, 700.0, 2161.0, 700.0, 1100.0, 06-08-2018.xls, 2020-01-09 13:10:48
49, HORTICULTURE, Avocado, Bag, 90.0, 1.0, 2000.0, 3000.0, 1600.0, 1500.0, 1800.0, 4200.0, 2200.0, 2200.0, 1000.0, 900.0, 3800.0, 2200.0, 900.0, 1000.0, 06-08-2018.xls, 2020-01-09 13:10:48
50, HORTICULTURE, Kales, Bag, 50.0, 15.0, 1200.0, 2000.0, 2500.0, 1000.0, 1600.0, 1500.0, 2000.0, 1500.0, 600.0, 1800.0, 800.0, 1500.0, 800.0, 1000.0, 06-08-2018.xls, 2020-01-09 13:10:48
51, OTHERS, Eggs, Tray, 5, 47.0, 290.0, 340.0, 270.0, 300.0, 300.0, 340.0, 309.0, 309.0, 330.0, 310.0, 300.0, 309.0, 340.0, 270.0, 06-08-2018.xls, 2020-01-09 13:10:48
