RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Isiolo, Meru, Kitale, Average, Max, Min, FileName, DateOfUpload
20, LEGUMES, Green Gram, Bag, 90.0, 46.0, 8750.0, 5220.0, 7600.0, 5400.0, 9000.0, 7200.0, 6300.0, 10800.0, 7534.0, 9000.0, 10800.0, 01-08-2018.xls, 2020-01-09 13:10:48
21, LEGUMES, Cowpeas, Bag, 90.0, 45.0, 7000.0, 3150.0, 7600.0, 6300.0, 6750.0, 4500.0, 3600.0, 7000.0, 5738.0, 7600.0, 3150.0, 01-08-2018.xls, 2020-01-09 13:10:48
22, LEGUMES, Fresh Peas, Bag, 51.0, 27.0, 3800.0, 4000.0, 2500.0, 2500.0, 2040.0, 5100.0, 3060.0, 1500.0, 3063.0, 5100.0, 1500.0, 01-08-2018.xls, 2020-01-09 13:10:48
23, LEGUMES, Groundnuts, Bag, 110.0, 44.0, 10500.0, 11000.0, 9200.0, 10340.0, 10800.0, 11023.0, 11023.0, 14300.0, 11023.0, 9200.0, 10340.0, 01-08-2018.xls, 2020-01-09 13:10:48
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29.0, 2300.0, 2850.0, 1700.0, 2764.0, 2000.0, 4700.0, 3800.0, 2000.0, 2764.0, 4700.0, 1700.0, 01-08-2018.xls, 2020-01-09 13:10:48
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30.0, 2300.0, 2850.0, 1700.0, 3200.0, 1800.0, 5200.0, 3700.0, 2200.0, 2869.0, 5200.0, 1700.0, 01-08-2018.xls, 2020-01-09 13:10:48
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43.0, 2500.0, 2000.0, 3000.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 3000.0, 2000.0, 01-08-2018.xls, 2020-01-09 13:10:48
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31.0, 3200.0, 2600.0, 3000.0, 3000.0, 3600.0, 3600.0, 2500.0, 2200.0, 2963.0, 3600.0, 2200.0, 01-08-2018.xls, 2020-01-09 13:10:48
28, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9.0, 1500.0, 5000.0, 1500.0, 1000.0, 1600.0, 1200.0, 2600.0, 1800.0, 2025.0, 5000.0, 1000.0, 01-08-2018.xls, 2020-01-09 13:10:48
29, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2.0, 550.0, 600.0, 250.0, 350.0, 1000.0, 1000.0, 400.0, 700.0, 606.0, 700.0, 1000.0, 01-08-2018.xls, 2020-01-09 13:10:48
30, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3.0, 600.0, 350.0, 250.0, 750.0, 700.0, 900.0, 600.0, 750.0, 613.0, 900.0, 250.0, 01-08-2018.xls, 2020-01-09 13:10:48
31, HORTICULTURE, Carrots, Ext Bag, 138.0, 13.0, 3350.0, 4400.0, 3000.0, 2700.0, 1600.0, 3500.0, 3450.0, 5600.0, 3450.0, 5600.0, 1600.0, 01-08-2018.xls, 2020-01-09 13:10:48
32, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32.0, 4500.0, 4000.0, 5000.0, 4000.0, 3600.0, 4500.0, 2560.0, 5000.0, 4145.0, 5000.0, 2560.0, 01-08-2018.xls, 2020-01-09 13:10:48
33, HORTICULTURE, Onions Dry, net, 13.0, 22.0, 1040.0, 600.0, 1040.0, 750.0, 1120.0, 650.0, 650.0, 600.0, 806.0, 750.0, 1040.0, 01-08-2018.xls, 2020-01-09 13:10:48
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23.0, 2400.0, 4000.0, 2400.0, 2000.0, 1200.0, 2450.0, 2150.0, 3000.0, 2450.0, 4000.0, 1200.0, 01-08-2018.xls, 2020-01-09 13:10:48
35, HORTICULTURE, Chillies, Bag, 38.0, 11.0, 2280.0, 2300.0, 1500.0, 4000.0, 3126.0, 3800.0, 2000.0, 6000.0, 3126.0, 6000.0, 1500.0, 01-08-2018.xls, 2020-01-09 13:10:48
36, HORTICULTURE, Cucumber, Bag, 50.0, 14.0, 2500.0, 1500.0, 3800.0, 3800.0, 3800.0, 7500.0, 5000.0, 2500.0, 3800.0, 7500.0, 1500.0, 01-08-2018.xls, 2020-01-09 13:10:48
37, HORTICULTURE, Capsicums, Bag, 50.0, 12.0, 2550.0, 2500.0, 2500.0, 2800.0, 1500.0, 6000.0, 4800.0, 6000.0, 3581.0, 6000.0, 1500.0, 01-08-2018.xls, 2020-01-09 13:10:48
38, HORTICULTURE, Brinjals, Bag, 44.0, 8.0, 2100.0, 1100.0, 1500.0, 2000.0, 2169.0, 3080.0, 3600.0, 1800.0, 2169.0, 3600.0, 1100.0, 01-08-2018.xls, 2020-01-09 13:10:48
39, HORTICULTURE, Cauliflower, crate, 39.0, 10.0, 3000.0, 1950.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 3000.0, 1950.0, 01-08-2018.xls, 2020-01-09 13:10:48
40, HORTICULTURE, Lettuce, Bag, 51.0, 17.0, 3060.0, 3000.0, 3030.0, 3030.0, 3030.0, 3030.0, 3030.0, 3030.0, 3030.0, 3060.0, 3000.0, 01-08-2018.xls, 2020-01-09 13:10:48
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25.0, 5000.0, 6500.0, 3000.0, 5000.0, 5400.0, 4700.0, 2500.0, 4400.0, 4563.0, 6500.0, 2500.0, 01-08-2018.xls, 2020-01-09 13:10:48
42, HORTICULTURE, Oranges, Bag, 93.0, 24.0, 3200.0, 3600.0, 3000.0, 3500.0, 2800.0, 5700.0, 2600.0, 4000.0, 3550.0, 5700.0, 2600.0, 01-08-2018.xls, 2020-01-09 13:10:48
43, HORTICULTURE, Lemons, Bag, 95.0, 16.0, 2850.0, 3000.0, 1500.0, 2400.0, 2729.0, 3000.0, 1600.0, 4750.0, 2729.0, 4750.0, 1500.0, 01-08-2018.xls, 2020-01-09 13:10:48
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21.0, 2800.0, 2500.0, 2100.0, 3000.0, 2000.0, 2500.0, 2500.0, 2600.0, 2500.0, 3000.0, 2000.0, 01-08-2018.xls, 2020-01-09 13:10:48
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36.0, 1400.0, 1200.0, 1600.0, 500.0, 500.0, 2000.0, 1200.0, 1200.0, 1200.0, 500.0, 1400.0, 01-08-2018.xls, 2020-01-09 13:10:48
46, HORTICULTURE, Limes, net, 13.0, 18.0, 1170.0, 750.0, 960.0, 960.0, 960.0, 960.0, 960.0, 960.0, 960.0, 750.0, 1170.0, 01-08-2018.xls, 2020-01-09 13:10:48
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28.0, 1040.0, 900.0, 620.0, 600.0, 650.0, 1200.0, 650.0, 600.0, 783.0, 900.0, 1040.0, 01-08-2018.xls, 2020-01-09 13:10:48
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26.0, 2700.0, 1700.0, 1100.0, 3000.0, 3150.0, 3400.0, 900.0, 2750.0, 2338.0, 900.0, 1100.0, 01-08-2018.xls, 2020-01-09 13:10:48
49, HORTICULTURE, Avocado, Bag, 90.0, 1.0, 2200.0, 3000.0, 1500.0, 1500.0, 2300.0, 4500.0, 1100.0, 900.0, 2125.0, 900.0, 1100.0, 01-08-2018.xls, 2020-01-09 13:10:48
50, HORTICULTURE, Kales, Bag, 50.0, 15.0, 1200.0, 2250.0, 2500.0, 1000.0, 1400.0, 1500.0, 600.0, 2200.0, 1581.0, 600.0, 1000.0, 01-08-2018.xls, 2020-01-09 13:10:48
51, OTHERS, Eggs, Tray, 5, 47.0, 290.0, 340.0, 270.0, 300.0, 300.0, 340.0, 330.0, 310.0, 310.0, 340.0, 270.0, 01-08-2018.xls, 2020-01-09 13:10:48
