RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Busia, Kisii, Loitktkktk, Isiolo, kitale, Average, Max, Min, FileName, DateOfUpload
20, LEGUMES, Green Gram, Bag, 90.0, 46, 9800.0, 5400.0, 8800.0, 6700.0, 12600.0, 10800.0, 9011.0, 6300.0, 9000.0, 11700.0, 9011.0, 9800.0, 10800.0, 27-3-2018.xls, 2020-01-09 13:10:47
21, LEGUMES, Cowpeas, Bag, 90.0, 45, 8100.0, 6300.0, 9600.0, 8100.0, 7200.0, 7900.0, 7900.0, 7900.0, 9000.0, 7000.0, 7900.0, 9600.0, 6300.0, 27-3-2018.xls, 2020-01-09 13:10:47
22, LEGUMES, Fresh Peas, Bag, 51.0, 27, 4080.0, 500.0, 2500.0, 4000.0, 3060.0, 3249.0, 3249.0, 3249.0, 5100.0, 3500.0, 3249.0, 5100.0, 2500.0, 27-3-2018.xls, 2020-01-09 13:10:47
23, LEGUMES, Groundnuts, Bag, 110.0, 44, 11200.0, 11550.0, 10000.0, 11000.0, 12150.0, 16500.0, 12800.0, 13500.0, 22000.0, 14300.0, 13500.0, 22000.0, 10000.0, 27-3-2018.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29, 2200.0, 2000.0, 1600.0, 2825.0, 2000.0, 4200.0, 2825.0, 3000.0, 3800.0, 3800.0, 2825.0, 4200.0, 1600.0, 27-3-2018.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30, 2000.0, 2000.0, 1600.0, 2700.0, 1800.0, 2700.0, 4800.0, 2500.0, 4200.0, 2700.0, 2700.0, 4800.0, 1600.0, 27-3-2018.xls, 2020-01-09 13:10:47
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 3300.0, 2250.0, 3000.0, 2710.0, 2710.0, 2710.0, 2710.0, 2710.0, 2500.0, 2500.0, 2710.0, 3300.0, 2250.0, 27-3-2018.xls, 2020-01-09 13:10:47
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3200.0, 3100.0, 3000.0, 3500.0, 2600.0, 3200.0, 3000.0, 3022.0, 3600.0, 2000.0, 3022.0, 3600.0, 2000.0, 27-3-2018.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 1650.0, 3000.0, 1400.0, 1500.0, 1800.0, 4840.0, 1200.0, 2000.0, 1000.0, 1250.0, 1964.0, 4840.0, 1000.0, 27-3-2018.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 550.0, 606.0, 350.0, 350.0, 1200.0, 850.0, 300.0, 600.0, 900.0, 350.0, 606.0, 900.0, 1200.0, 27-3-2018.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 650.0, 550.0, 350.0, 750.0, 700.0, 1000.0, 750.0, 500.0, 550.0, 750.0, 655.0, 750.0, 1000.0, 27-3-2018.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 3200.0, 4140.0, 3800.0, 2700.0, 1800.0, 4200.0, 4000.0, 2700.0, 2500.0, 5600.0, 3464.0, 5600.0, 1800.0, 27-3-2018.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 5000.0, 4500.0, 5000.0, 3500.0, 6200.0, 5500.0, 5000.0, 1400.0, 5000.0, 3000.0, 4410.0, 6200.0, 1400.0, 27-3-2018.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Onions Dry, net, 13.0, 22, 1300.0, 1700.0, 1300.0, 1500.0, 1560.0, 1820.0, 900.0, 1600.0, 1560.0, 1350.0, 1459.0, 900.0, 1300.0, 27-3-2018.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2400.0, 3600.0, 2500.0, 1000.0, 1400.0, 2500.0, 3000.0, 2500.0, 2500.0, 3600.0, 2500.0, 3600.0, 1000.0, 27-3-2018.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Chillies, Bag, 38.0, 11, 2280.0, 3420.0, 1500.0, 3500.0, 3717.0, 3717.0, 3717.0, 3717.0, 7600.0, 4000.0, 3717.0, 7600.0, 1500.0, 27-3-2018.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Cucumber, Bag, 50.0, 14, 2250.0, 2500.0, 2583.0, 2583.0, 2583.0, 2583.0, 2583.0, 2583.0, 2583.0, 3000.0, 2583.0, 3000.0, 2250.0, 27-3-2018.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Capsicums, Bag, 50.0, 12, 2750.0, 3000.0, 2700.0, 3500.0, 2000.0, 3200.0, 2961.0, 2500.0, 3000.0, 4000.0, 2961.0, 4000.0, 2000.0, 27-3-2018.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Brinjals, Bag, 44.0, 8, 2200.0, 2508.0, 1500.0, 3500.0, 2508.0, 2508.0, 2508.0, 2508.0, 2640.0, 2700.0, 2508.0, 3500.0, 1500.0, 27-3-2018.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2340.0, 2730.0, 2535.0, 2535.0, 2535.0, 2535.0, 2535.0, 2535.0, 2535.0, 2535.0, 2535.0, 2730.0, 2340.0, 27-3-2018.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2550.0, 3000.0, 2775.0, 2775.0, 2775.0, 2775.0, 2775.0, 2775.0, 2775.0, 2775.0, 2775.0, 3000.0, 2550.0, 27-3-2018.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 5000.0, 5500.0, 3100.0, 5000.0, 4560.0, 4380.0, 4380.0, 4380.0, 4500.0, 3000.0, 4380.0, 5500.0, 3000.0, 27-3-2018.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Oranges, Bag, 93.0, 24, 4200.0, 3600.0, 4000.0, 5400.0, 3400.0, 3000.0, 5000.0, 3500.0, 5500.0, 3300.0, 4090.0, 5500.0, 3000.0, 27-3-2018.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Lemons, Bag, 95.0, 16, 2850.0, 2300.0, 1500.0, 2700.0, 2596.0, 2500.0, 3000.0, 2596.0, 2596.0, 3325.0, 2596.0, 3325.0, 1500.0, 27-3-2018.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 2700.0, 2250.0, 2800.0, 3000.0, 2000.0, 1500.0, 2419.0, 2419.0, 2500.0, 2600.0, 2419.0, 3000.0, 1500.0, 27-3-2018.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 1200.0, 1000.0, 2000.0, 1340.0, 500.0, 1340.0, 1340.0, 1340.0, 2000.0, 1340.0, 1340.0, 500.0, 1000.0, 27-3-2018.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Limes, net, 13.0, 18, 1170.0, 550.0, 860.0, 860.0, 860.0, 860.0, 860.0, 860.0, 860.0, 860.0, 860.0, 550.0, 1170.0, 27-3-2018.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 1040.0, 900.0, 650.0, 480.0, 1105.0, 1116.0, 800.0, 1116.0, 1200.0, 2750.0, 1116.0, 900.0, 1040.0, 27-3-2018.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2750.0, 1000.0, 1000.0, 3000.0, 2430.0, 960.0, 700.0, 1574.0, 1574.0, 750.0, 1574.0, 960.0, 1000.0, 27-3-2018.xls, 2020-01-09 13:10:47
49, HORTICULTURE, Avocado, Bag, 90.0, 1, 2250.0, 3500.0, 1800.0, 2200.0, 3000.0, 2339.0, 900.0, 2800.0, 3200.0, 1400.0, 2339.0, 900.0, 1400.0, 27-3-2018.xls, 2020-01-09 13:10:47
50, HORTICULTURE, Kales, Bag, 50.0, 15, 1250.0, 1550.0, 1200.0, 800.0, 1800.0, 1072.0, 500.0, 400.0, 1250.0, 900.0, 1072.0, 900.0, 1200.0, 27-3-2018.xls, 2020-01-09 13:10:47
51, OTHERS, Eggs, Tray, 5, 47, 320.0, 330.0, 350.0, 300.0, 330.0, 340.0, 340.0, 330.0, 340.0, 340.0, 332.0, 350.0, 300.0, 27-3-2018.xls, 2020-01-09 13:10:47
