RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Nyahururururu, Busia, Mks, Average, Max, Min, FileName, DateOfUpload
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2200.0, 1900.0, 1800.0, 2425.0, 2425.0, 3800.0, 2425.0, 2425.0, 2425.0, 2425.0, 3800.0, 1800.0, 372012.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3600.0, 3300.0, 1500.0, 3000.0, 2000.0, 3920.0, 3103.0, 2200.0, 5300.0, 3103.0, 5300.0, 1500.0, 372012.xls, 2020-01-09 13:10:47
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 1700.0, 2800.0, 1050.0, 1200.0, 1300.0, 3000.0, 880.0, 3000.0, 800.0, 1748.0, 880.0, 1050.0, 372012.xls, 2020-01-09 13:10:47
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 530.0, 650.0, 300.0, 500.0, 800.0, 500.0, 550.0, 800.0, 500.0, 570.0, 800.0, 300.0, 372012.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 650.0, 500.0, 300.0, 350.0, 560.0, 600.0, 450.0, 1200.0, 600.0, 579.0, 650.0, 1200.0, 372012.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 4300.0, 7500.0, 5000.0, 4000.0, 3500.0, 9000.0, 4140.0, 5243.0, 4500.0, 5243.0, 9000.0, 3500.0, 372012.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 3400.0, 2700.0, 3500.0, 3000.0, 3900.0, 3200.0, 3000.0, 3338.0, 4000.0, 3338.0, 4000.0, 2700.0, 372012.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Onions Dry, net, 13.0, 22, 1100.0, 900.0, 1400.0, 1000.0, 1560.0, 1200.0, 910.0, 1259.0, 2000.0, 1259.0, 910.0, 1000.0, 372012.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 1900.0, 1500.0, 1500.0, 600.0, 1420.0, 2210.0, 3550.0, 2210.0, 5000.0, 2210.0, 600.0, 1420.0, 372012.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Chillies, Bag, 38.0, 11, 3300.0, 1500.0, 1200.0, 4000.0, 2760.0, 3800.0, 2760.0, 2760.0, 2760.0, 2760.0, 4000.0, 1200.0, 372012.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Cucumber, Bag, 50.0, 14, 1800.0, 1250.0, 2183.0, 2183.0, 2183.0, 3500.0, 2183.0, 2183.0, 2183.0, 2183.0, 3500.0, 1250.0, 372012.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3600.0, 2500.0, 1500.0, 3500.0, 800.0, 5500.0, 2000.0, 2000.0, 2400.0, 2644.0, 800.0, 1500.0, 372012.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Brinjals, Bag, 44.0, 8, 1700.0, 880.0, 1300.0, 2500.0, 1672.0, 1750.0, 1672.0, 1672.0, 1900.0, 1672.0, 880.0, 1300.0, 372012.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Cauliflower, crate, 39.0, 10, 3000.0, 1950.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 3000.0, 1950.0, 372012.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2800.0, 1500.0, 2150.0, 2150.0, 2150.0, 2150.0, 2150.0, 2150.0, 2150.0, 2150.0, 2800.0, 1500.0, 372012.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 3800.0, 4750.0, 3000.0, 3500.0, 3420.0, 5000.0, 4560.0, 4004.0, 4004.0, 4004.0, 5000.0, 3000.0, 372012.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Oranges, Bag, 93.0, 24, 2200.0, 2200.0, 2500.0, 2400.0, 2800.0, 3000.0, 2140.0, 1800.0, 2000.0, 2338.0, 3000.0, 1800.0, 372012.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Lemons, Bag, 95.0, 16, 1600.0, 1350.0, 1000.0, 1600.0, 1566.0, 2280.0, 1566.0, 1566.0, 1566.0, 1566.0, 2280.0, 1000.0, 372012.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 1900.0, 1600.0, 2000.0, 1900.0, 2600.0, 1800.0, 1900.0, 1500.0, 1900.0, 1900.0, 2600.0, 1500.0, 372012.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 700.0, 450.0, 670.0, 500.0, 650.0, 1050.0, 670.0, 670.0, 670.0, 670.0, 700.0, 1050.0, 372012.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Limes, net, 13.0, 18, 550.0, 583.0, 583.0, 500.0, 583.0, 700.0, 583.0, 583.0, 583.0, 583.0, 700.0, 500.0, 372012.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 600.0, 840.0, 600.0, 480.0, 750.0, 1200.0, 731.0, 731.0, 650.0, 731.0, 840.0, 1200.0, 372012.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 1800.0, 800.0, 1000.0, 1800.0, 1620.0, 1370.0, 1370.0, 1370.0, 1200.0, 1370.0, 800.0, 1000.0, 372012.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Avocado, Bag, 90.0, 1, 2200.0, 2700.0, 800.0, 2200.0, 1800.0, 4600.0, 2138.0, 1000.0, 1800.0, 2138.0, 800.0, 1000.0, 372012.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Kales, Bag, 50.0, 15, 1000.0, 1700.0, 1500.0, 400.0, 800.0, 2200.0, 400.0, 750.0, 600.0, 1039.0, 800.0, 1000.0, 372012.xls, 2020-01-09 13:10:47
49, OTHERS, Eggs, Tray, 5, 47, 300.0, 330.0, 290.0, 280.0, 360.0, 330.0, 290.0, 255.0, 300.0, 304.0, 360.0, 255.0, 372012.xls, 2020-01-09 13:10:47
