RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Kakamega, Busia, Kisii, Isiolo, Average, Max, Min, FileName, DateOfUpload
22, LEGUMES, Fresh Peas, Bag, 51.0, 27, 4500.0, 5500.0, 4765.0, 6000.0, 3060.0, 4765.0, 4765.0, 4765.0, 4765.0, 4765.0, 6000.0, 3060.0, 26-04-2018.xls, 2020-01-09 13:10:47
23, LEGUMES, Groundnuts, Bag, 110.0, 44, 11000.0, 11550.0, 10000.0, 12000.0, 12150.0, 12000.0, 16500.0, 14000.0, 12400.0, 12400.0, 16500.0, 10000.0, 26-04-2018.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29, 2750.0, 3000.0, 1800.0, 2650.0, 2200.0, 2200.0, 2500.0, 2750.0, 4000.0, 2650.0, 4000.0, 1800.0, 26-04-2018.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30, 2500.0, 3000.0, 1800.0, 3200.0, 2000.0, 2400.0, 3200.0, 2825.0, 4500.0, 2825.0, 4500.0, 1800.0, 26-04-2018.xls, 2020-01-09 13:10:47
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 3300.0, 2200.0, 3000.0, 2750.0, 2750.0, 2750.0, 2750.0, 2750.0, 2500.0, 2750.0, 3300.0, 2200.0, 26-04-2018.xls, 2020-01-09 13:10:47
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3260.0, 2900.0, 3000.0, 3500.0, 2600.0, 2000.0, 1500.0, 2800.0, 3600.0, 2796.0, 3600.0, 1500.0, 26-04-2018.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 1500.0, 2700.0, 1250.0, 1000.0, 1600.0, 2000.0, 3000.0, 1400.0, 1400.0, 1761.0, 3000.0, 1000.0, 26-04-2018.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 500.0, 500.0, 350.0, 350.0, 1200.0, 600.0, 900.0, 350.0, 700.0, 606.0, 900.0, 1200.0, 26-04-2018.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 650.0, 600.0, 350.0, 750.0, 600.0, 600.0, 1000.0, 644.0, 600.0, 644.0, 750.0, 1000.0, 26-04-2018.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 3500.0, 4500.0, 3000.0, 2800.0, 1800.0, 3000.0, 6900.0, 3800.0, 2500.0, 3533.0, 6900.0, 1800.0, 26-04-2018.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 4800.0, 6900.0, 6000.0, 5000.0, 5800.0, 5000.0, 4500.0, 6400.0, 6000.0, 5600.0, 6900.0, 4500.0, 26-04-2018.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Onions Dry, net, 13.0, 22, 1300.0, 1200.0, 1300.0, 1300.0, 1560.0, 1300.0, 1560.0, 1000.0, 1300.0, 1313.0, 1560.0, 1000.0, 26-04-2018.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2500.0, 3600.0, 2500.0, 1000.0, 1300.0, 2367.0, 2367.0, 3300.0, 2367.0, 2367.0, 3600.0, 1000.0, 26-04-2018.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Chillies, Bag, 38.0, 11, 2280.0, 2100.0, 1500.0, 3000.0, 3296.0, 3296.0, 3296.0, 3296.0, 7600.0, 3296.0, 7600.0, 1500.0, 26-04-2018.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Cucumber, Bag, 50.0, 14, 2500.0, 2500.0, 4167.0, 4167.0, 4167.0, 4167.0, 4167.0, 4167.0, 7500.0, 4167.0, 7500.0, 2500.0, 26-04-2018.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3000.0, 3500.0, 2400.0, 2000.0, 1500.0, 2700.0, 2500.0, 2700.0, 4000.0, 2700.0, 4000.0, 1500.0, 26-04-2018.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Brinjals, Bag, 44.0, 8, 2640.0, 700.0, 1500.0, 2000.0, 1896.0, 1896.0, 1896.0, 1896.0, 2640.0, 1896.0, 700.0, 1500.0, 26-04-2018.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2340.0, 2700.0, 3100.0, 2713.0, 2713.0, 2713.0, 2713.0, 2713.0, 2713.0, 2713.0, 3100.0, 2340.0, 26-04-2018.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Lettuce, Bag, 51.0, 17, 3500.0, 5000.0, 4250.0, 4250.0, 4250.0, 4250.0, 4250.0, 4250.0, 4250.0, 4250.0, 5000.0, 3500.0, 26-04-2018.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 5130.0, 5000.0, 3100.0, 5000.0, 4560.0, 4548.0, 4548.0, 4548.0, 4500.0, 4548.0, 5130.0, 3100.0, 26-04-2018.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Oranges, Bag, 93.0, 24, 4000.0, 3200.0, 3000.0, 5400.0, 3500.0, 2800.0, 4500.0, 4500.0, 5500.0, 4044.0, 5500.0, 2800.0, 26-04-2018.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Lemons, Bag, 95.0, 16, 2850.0, 2800.0, 1500.0, 2400.0, 2379.0,  2000, 1500.0, 2400.0, 3200.0, 2379.0, 3200.0, 1500.0, 26-04-2018.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 2700.0, 1500.0, 2000.0, 3000.0, 2400.0, 3000.0, 2400.0, 2429.0, 2429.0, 2429.0, 3000.0, 1500.0, 26-04-2018.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 1250.0, 750.0, 2000.0, 500.0, 600.0, 1250.0, 1058.0, 1058.0, 1058.0, 1058.0, 750.0, 1250.0, 26-04-2018.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Limes, net, 13.0, 18, 1300.0, 600.0, 950.0, 950.0, 950.0, 950.0, 950.0, 950.0, 950.0, 950.0, 600.0, 1300.0, 26-04-2018.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 1040.0, 960.0, 650.0, 480.0, 1105.0,  1200, 650.0, 900.0, 1200.0, 873.0, 960.0, 1040.0, 26-04-2018.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2700.0, 1100.0, 1000.0, 3000.0, 2430.0, 1822.0, 1822.0, 700.0, 1822.0, 1822.0, 700.0, 1000.0, 26-04-2018.xls, 2020-01-09 13:10:47
49, HORTICULTURE, Avocado, Bag, 90.0, 1, 2400.0, 3500.0, 1800.0, 2200.0, 1600.0, 2129.0, 2129.0, 800.0, 2600.0, 2129.0, 800.0, 1600.0, 26-04-2018.xls, 2020-01-09 13:10:47
50, HORTICULTURE, Kales, Bag, 50.0, 15, 1250.0, 1400.0, 1200.0, 500.0, 1000.0, 1500.0, 1063.0, 650.0, 1000.0, 1063.0, 650.0, 1000.0, 26-04-2018.xls, 2020-01-09 13:10:47
51, OTHERS, Eggs, Tray, 5, 47, 330.0, 330.0, 330.0, 300.0, 330.0, 300.0, 324.0, 330.0, 340.0, 324.0, 340.0, 300.0, 26-04-2018.xls, 2020-01-09 13:10:47
