RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Kitale, Busia, Chwele, Average, Max, Min, FileName, DateOfUpload
36, HORTICULTURE, Brinjals, Bag, 44.0, 8, 1700.0, 970.0, 1300.0, 2500.0, 1300.0, 1750.0, 880.0, 1300.0, 0.0, 1300.0, 970.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Cauliflower, crate, 39.0, 10, 3300.0, 1950.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 0.0, 1750.0, 3300.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2800.0, 2000.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 1600.0, 0.0, 1600.0, 2800.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 3800.0, 5000.0, 3000.0, 3500.0, 3420.0, 5000.0, 2850.0, 3321.0, 0.0, 3321.0, 5000.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Oranges, Bag, 93.0, 24, 2200.0, 2200.0, 2500.0, 2400.0, 2800.0, 3000.0, 3700.0, 1800.0, 2600.0, 2578.0, 3700.0, 1800.0, 672012-1.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Lemons, Bag, 95.0, 16, 1600.0, 700.0, 1000.0, 1600.0, 1169.0, 2280.0, 1169.0, 1000.0, 0.0, 1169.0, 700.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 1863.0, 1600.0, 2000.0, 2400.0, 2600.0, 1800.0, 2500.0, 1200.0, 800.0, 1863.0, 800.0, 1200.0, 672012-1.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 690.0, 500.0, 665.0, 500.0, 650.0, 1050.0, 665.0, 665.0, 600.0, 665.0, 690.0, 1050.0, 672012-1.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Limes, net, 13.0, 18, 550.0, 900.0, 530.0, 500.0, 530.0, 700.0, 530.0, 530.0, 0.0, 530.0, 900.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 600.0, 1080.0, 600.0, 480.0, 750.0, 1200.0, 390.0, 1560.0, 1200.0, 873.0, 750.0, 1080.0, 672012-1.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2000.0, 700.0, 1000.0, 1800.0, 1620.0, 1326.0, 2160.0, 1326.0, 0.0, 1326.0, 700.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Avocado, Bag, 90.0, 1, 2200.0, 2700.0, 800.0, 2200.0, 1500.0, 4600.0, 1300.0, 700.0, 900.0, 1878.0, 900.0, 1300.0, 672012-1.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Kales, Bag, 50.0, 15, 1100.0, 1500.0, 1500.0, 450.0, 700.0, 2200.0, 300.0, 800.0, 300.0, 983.0, 800.0, 1100.0, 672012-1.xls, 2020-01-09 13:10:47
49, OTHERS, Eggs, Tray, 5, 47, 300.0, 330.0, 290.0, 280.0, 300.0, 330.0, 260.0, 265.0, 285.0, 293.0, 330.0, 260.0, 672012-1.xls, 2020-01-09 13:10:47
