RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Kitale, Imenti, Average, Max, Min, FileName, DateOfUpload
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2300.0, 3600.0, 2500.0, 1000.0, 1400.0, 3600.0, 3500.0, 2557.0, 3600.0, 1000.0, 9-3-2018.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Chillies, Bag, 38.0, 11, 2280.0, 3300.0, 1500.0, 3500.0, 2697.0, 4000.0, 1600.0, 2697.0, 4000.0, 1500.0, 9-3-2018.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Cucumber, Bag, 50.0, 14, 2500.0, 2500.0, 2750.0, 2750.0, 2750.0, 3000.0, 3000.0, 2750.0, 3000.0, 2500.0, 9-3-2018.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3000.0, 2500.0, 2500.0, 3500.0, 2500.0, 4000.0, 3000.0, 3000.0, 4000.0, 2500.0, 9-3-2018.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Brinjals, Bag, 44.0, 8, 2420.0, 800.0, 1500.0, 3500.0, 2184.0, 2700.0, 2184.0, 2184.0, 800.0, 1500.0, 9-3-2018.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2340.0, 2700.0, 2520.0, 2520.0, 2520.0, 2520.0, 2520.0, 2520.0, 2700.0, 2340.0, 9-3-2018.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2400.0, 3000.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 3000.0, 2400.0, 9-3-2018.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 5000.0, 5000.0, 3000.0, 5000.0, 4560.0, 4400.0, 3500.0, 4351.0, 5000.0, 3000.0, 9-3-2018.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Oranges, Bag, 93.0, 24, 4200.0, 3800.0, 3500.0, 5400.0, 3600.0, 4000.0, 4500.0, 4143.0, 5400.0, 3500.0, 9-3-2018.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Lemons, Bag, 95.0, 16, 2830.0, 2900.0, 1500.0, 2700.0, 2543.0, 3325.0, 2000.0, 2543.0, 3325.0, 1500.0, 9-3-2018.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 2400.0, 2000.0, 2800.0, 3000.0, 2400.0, 2600.0, 2533.0, 2533.0, 3000.0, 2000.0, 9-3-2018.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 1200.0, 1750.0, 2000.0, 1388.0, 600.0, 1388.0, 1388.0, 1388.0, 600.0, 1200.0, 9-3-2018.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Limes, net, 13.0, 18, 1170.0, 800.0, 985.0, 985.0, 985.0, 985.0, 985.0, 985.0, 800.0, 1170.0, 9-3-2018.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 1040.0, 900.0, 650.0, 480.0, 1105.0, 750.0, 700.0, 804.0, 900.0, 1040.0, 9-3-2018.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2600.0, 850.0, 1000.0, 3000.0, 2430.0, 2750.0, 1100.0, 1961.0, 850.0, 1000.0, 9-3-2018.xls, 2020-01-09 13:10:47
49, HORTICULTURE, Avocado, Bag, 90.0, 1, 2200.0, 3500.0, 1800.0, 2200.0, 3600.0, 1600.0, 1200.0, 2300.0, 3600.0, 1200.0, 9-3-2018.xls, 2020-01-09 13:10:47
50, HORTICULTURE, Kales, Bag, 50.0, 15, 1500.0, 2300.0, 2000.0, 1900.0, 1800.0, 1400.0, 700.0, 1657.0, 700.0, 1400.0, 9-3-2018.xls, 2020-01-09 13:10:47
51, OTHERS, Eggs, Tray, 5, 47, 320.0, 330.0, 350.0, 300.0, 330.0, 330.0, 320.0, 326.0, 350.0, 300.0, 9-3-2018.xls, 2020-01-09 13:10:47
