county,nafis_date,variety,commodity,unit,kg,nafis_prices,season,avg_temp,max_temp,min_temp,precipitation_mm,annual_avg_inflation,twelve_month_inflation,household_sizes,total_household_demand_kg
Nairobi,23/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,5,4.5,6.67,1509106,8583689
Nairobi,24/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,2,4.5,6.67,1514137,8583690
Nairobi,25/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,1,4.5,6.67,1519185,8583691
Nairobi,26/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,2,4.5,6.67,1524249,8583692
Nairobi,27/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,1,4.5,6.67,1529330,8583693
Nairobi,28/10/2018,Horticulture,Kales,Bag,50,0,normal,23,27,14,1,4.5,6.67,1534428,8583694
Nairobi,29/10/2018,Horticulture,Kales,Bag,50,0,normal,23,26,13,0,4.5,6.67,1539543,8583695
Nairobi,30/10/2018,Horticulture,Kales,Bag,50,0,normal,23,27,13,0,4.5,6.67,1544675,8583696
Nairobi,31/10/2018,Horticulture,Kales,Bag,50,0,normal,23,27,14,0,4.5,6.67,1549824,8583697
Mombasa,01/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,20,0,4.96,4.05,304290,1862255
Mombasa,02/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,20,0,4.96,4.05,304290,1862255
Mombasa,03/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,20,0,4.96,4.05,304290,1862255
Mombasa,04/08/2018,Horticulture,Kales,Bag,50,0,peak,28,30,20,0,4.96,4.05,304290,1862255
Mombasa,05/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,23,0,4.96,4.05,304290,1862255
Mombasa,06/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,21,0,4.96,4.05,304290,1862255
Mombasa,07/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,0,4.96,4.05,304290,1862255
Mombasa,08/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,21,1,4.96,4.05,304290,1862255
Mombasa,09/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,21,0,4.96,4.05,304290,1862255
Mombasa,10/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,21,4,4.96,4.05,304290,1862255
Mombasa,11/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,6,4.96,4.05,304290,1862255
Mombasa,12/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,9,4.96,4.05,304290,1862255
Mombasa,13/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,8,4.96,4.05,304290,1862255
Mombasa,14/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,7,4.96,4.05,304290,1862255
Mombasa,15/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,4,4.96,4.05,304290,1862255
Mombasa,16/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,2,4.96,4.05,304290,1862255
Mombasa,17/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,20,2,4.96,4.05,304290,1862255
Mombasa,18/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,20,1,4.96,4.05,304290,1862255
Mombasa,19/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,20,2,4.96,4.05,304290,1862255
Mombasa,20/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,20,1,4.96,4.05,304290,1862255
Mombasa,21/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,21,0,4.96,4.05,304290,1862255
Mombasa,22/08/2018,Horticulture,Kales,Bag,50,0,peak,28,30,20,2,4.96,4.05,304290,1862255
Mombasa,23/08/2018,Horticulture,Kales,Bag,50,0,peak,28,20,21,3,4.96,4.05,304290,1862255
Mombasa,24/08/2018,Horticulture,Kales,Bag,50,0,peak,28,27,21,28,4.96,4.05,304290,1862255
Mombasa,25/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,7,4.96,4.05,304290,1862255
Mombasa,26/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,1,4.96,4.05,304290,1862255
Mombasa,27/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,2,4.96,4.05,304290,1862255
Mombasa,28/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,20,3,4.96,4.05,304290,1862255
Mombasa,29/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,8,4.96,4.05,304290,1862255
Mombasa,30/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,21,3,4.96,4.05,304290,1862255
Mombasa,31/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,21,4,4.56,4.91,304290,1862255
Mombasa,01/09/2018,Horticulture,Kales,Bag,50,0,normal,28,28,21,4,4.56,4.91,305305,1868467
Mombasa,02/09/2018,Horticulture,Kales,Bag,50,0,normal,28,29,21,3,4.56,4.91,305305,1868467
Mombasa,03/09/2018,Horticulture,Kales,Bag,50,0,normal,28,28,20,4,4.56,4.91,305305,1868467
Mombasa,04/09/2018,Horticulture,Kales,Bag,50,0,normal,28,28,21,2,4.56,4.91,305305,1868467
Mombasa,05/09/2018,Horticulture,Kales,Bag,50,0,normal,28,29,21,2,4.56,4.91,305305,1868467
Mombasa,06/09/2018,Horticulture,Kales,Bag,50,0,normal,28,30,20,2,4.56,4.91,305305,1868467
Mombasa,07/09/2018,Horticulture,Kales,Bag,50,0,normal,28,31,21,6,4.56,4.91,305305,1868467
Mombasa,08/09/2018,Horticulture,Kales,Bag,50,0,normal,28,29,20,3,4.56,4.91,305305,1868467
Mombasa,09/09/2018,Horticulture,Kales,Bag,50,0,normal,28,29,20,3,4.56,4.91,305305,1868467
Mombasa,10/09/2018,Horticulture,Kales,Bag,50,0,normal,28,30,20,1,4.56,4.91,305305,1868467
Mombasa,11/09/2018,Horticulture,Kales,Bag,50,0,normal,28,29,20,0,4.56,4.91,305305,1868467
Mombasa,12/09/2018,Horticulture,Kales,Bag,50,0,normal,28,30,20,0,4.56,4.91,305305,1868467
Mombasa,13/09/2018,Horticulture,Kales,Bag,50,0,normal,28,30,20,1,4.56,4.91,305305,1868467
Mombasa,14/09/2018,Horticulture,Kales,Bag,50,0,normal,28,31,20,2,4.56,4.91,305305,1868467
Mombasa,15/09/2018,Horticulture,Kales,Bag,50,0,normal,28,30,20,1,4.56,4.91,305305,1868467
Mombasa,16/09/2018,Horticulture,Kales,Bag,50,0,normal,28,30,20,0,4.56,4.91,305305,1868467
Mombasa,17/09/2018,Horticulture,Kales,Bag,50,0,normal,28,30,20,0,4.56,4.91,305305,1868467
Mombasa,18/09/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,0,4.56,4.91,305305,1868467
Mombasa,19/09/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.56,4.91,305305,1868467
Mombasa,20/09/2018,Horticulture,Kales,Bag,50,0,normal,29,31,20,0,4.56,4.91,305305,1868467
Mombasa,21/09/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,0,4.56,4.91,305305,1868467
Mombasa,22/09/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,0,4.56,4.91,305305,1868467
Mombasa,23/09/2018,Horticulture,Kales,Bag,50,0,normal,29,30,20,0,4.56,4.91,305305,1868467
Mombasa,24/09/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,0,4.56,4.91,305305,1868467
Mombasa,25/09/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,0,4.56,4.91,305305,1868467
Mombasa,26/09/2018,Horticulture,Kales,Bag,50,0,normal,29,30,20,0,4.56,4.91,305305,1868467
Mombasa,27/09/2018,Horticulture,Kales,Bag,50,0,normal,29,30,20,0,4.56,4.91,305305,1868467
Mombasa,28/09/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,0,4.56,4.91,305305,1868467
Mombasa,29/09/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.56,4.91,305305,1868467
Mombasa,30/09/2018,Horticulture,Kales,Bag,50,0,normal,29,31,20,0,4.56,4.91,305305,1868467
Mombasa,01/10/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.5,6.67,306323,1874697
Mombasa,02/10/2018,Horticulture,Kales,Bag,50,0,normal,29,30,20,0,4.5,6.67,306323,1874697
Mombasa,03/10/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.5,6.67,306323,1874697
Mombasa,04/10/2018,Horticulture,Kales,Bag,50,0,normal,29,31,20,0,4.5,6.67,306323,1874697
Mombasa,05/10/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.5,6.67,306323,1874697
Mombasa,06/10/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.5,6.67,306323,1874697
Mombasa,07/10/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.5,6.67,306323,1874697
Mombasa,08/10/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.5,6.67,306323,1874697
Mombasa,09/10/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.5,6.67,306323,1874697
